Sample,Sex,Genotype,Concentration,Ratio,RIN
WAC1,M,WT,594.6,2.07,6.9
WAC2,M,WT,765.3,2.09,9.2
WAC3,F,WT,671.2,2.06,9.4
WAC4,F,WT,588,2.03,9.3
WAC5,M,HET,674.2,2.04,9.3
WAC6,F,HET,599.3,2,9.3
WAC7,M,WT,829.6,2.03,9.5
WAC8,F,WT,712.1,2.02,9.5
WAC9,F,HET,695.5,2.01,9.5
WAC10,M,WT,926.8,2.03,9.5
WAC11,M,WT,625,2,9.6
WAC12,M,HET,527.5,2.2,9.5
WAC13,M,HET,734.2,2.1,9.6
WAC14,M,WT,724.8,2.07,9.5
WAC15,F,HET,321,2.03,9.7
WAC16,F,WT,621,2.04,9.6
WAC17,F,WT,522,2.05,9.6
WAC18,F,WT,579.8,2.04,9.8
WAC19,M,HET,1062.7,2.06,9.7
WAC20,M,WT,639.1,2,9.7
WAC21,F,HET,970.4,2.09,9.6
WAC22,M,HET,797,2.07,9.7
WAC23,F,HET,1160.9,2.06,9.6
WAC24,F,WT,916.6,2.07,9.7
